,产品,月销量,价格,店铺
0,Huawei/华为 BTV-DL09,10,¥1199.00,贝丰通信专营店
1,华为/Huawei S5720-32P-EI-AC,1,¥999.00,历朗通信专营店
2,华为空气净化器2S,0,¥2588.00,世纪华电数码专营店
3,华为S1720-28GWR-PWR-4TP,0,¥699.00,电信汇通天华通信专卖店
4,Huawei/华为 AR1220F-S,2,¥7508.00,华为网捷天成专卖店
5,Huawei/华为 AR1220C,0,¥6768.00,博润天数码专营店
6,华为 S5700-48TP-SI-AC,45,¥1199.00,华为莫问专卖店
7,华为 S2700-9TP-EI(AC),0,¥2300.00,华曼数码专营店
8,华为 S1700-52GFR-4P-AC,0,¥1699.00,贝丰通信专营店
9,Huawei/华为 nova 3i,1,¥3699.00,铮竹数码专营店
10,Huawei/华为 Mate 20 64G,1,¥2500.00,思行致远办公专营店
11,Huawei/华为 MateBook X Pro MACH-W,0,¥2777.00,贝丰通信专营店
12,华为HUAWEI TE40视频会议终端系统,3,¥1286.00,华为亮通专卖店
13,华为VP9630-12,0,¥7773.00,华为网捷天成专卖店
14,Huawei/华为 荣耀8X,0,¥2399.00,迪信通官方旗舰店
15,华为HUAWEI TE500视频会议终端系统,0,¥2000.00,唯实嘉业办公专营店
16,华为S5700-10P-PWR-LI-AC ,1,¥860.00,凯雷数码专营店
17,华为honor/荣耀 荣耀magic 2,0,¥6050.00,联尚易通数码专营店
18,华为honor/荣耀 荣耀10青春版,1,¥3420.00,博润天数码专营店
19,华为 S1720X-16XWR,2,¥5688.00,立众数码专营店
20,华为S5700-28P-PWR-LI-AC,0,¥2399.00,长沙联通官方旗舰店
21,华为 WATCH 2 pro,0,¥1349.00,贝丰通信专营店
22,Huawei/华为 Mate S,0,¥23400.00,泰勒伟业办公专营店
23,Huawei/华为 畅享 MAX,5,¥3999.00,长沙联通官方旗舰店
24,Huawei/华为 Huawei/华为 E5885Ls-93a,0,¥2485.00,华为网捷天成专卖店
25,Huawei/华为 AP3010DN-V2-FAT-DC,1,¥8688.00,华为航智专卖店
26,华为 S5720-52X-EI-AC,0,¥14999.00,泰勒伟业办公专营店
27,华为S5720S-28P-LI-AC ,0,¥259999.00,泰勒伟业办公专营店
28,Huawei/华为 AR2220-S,0,¥1899.00,四川电信旗舰店
29,华为 OMXD30000,0,¥39999.00,泰勒伟业办公专营店
30,Huawei/华为 AR2240-S,0,¥10465.00,华为网捷天成专卖店
31,Huawei/华为 AR3260-S,6,¥1900.00,信合嘉业办公专营店
32,华为 S5700-48TP-SI(AC),2,¥1094.00,博润天数码专营店
33,Huawei/华为 Matebook D,0,¥3206.00,华曼数码专营店
34,华为 S5700-28X-LI-AC,0,¥1779.00,移宝通信专营店
35,,5,¥1588.00,立众数码专营店
36,,0,¥4188.00,贝丰通信专营店
37,,0,¥1899.00,贝丰通信专营店
38,,0,¥3630.00,铮竹数码专营店
39,,0,¥4500.00,思行致远办公专营店
40,,0,¥5690.00,博润天数码专营店
41,,1,¥1699.00,贝丰通信专营店
42,,4,¥2238.00,华为浤兴专卖店
43,,1,¥1039.00,莫拉克数码专营店
44,,0,¥1699.00,贝丰通信专营店
45,,2,¥1399.00,贝丰通信专营店
46,,0,¥899.00,名品创达数码专营店
47,,0,¥1008.00,中企天正数码专营店
48,,0,¥10560.00,沪浜数码专营店
49,,1,¥1900.00,思创远传办公专营店
50,,0,¥6659.00,宜柏数码专营店
51,,0,¥899.00,历朗通信专营店
52,,0,¥1699.00,历朗通信专营店
53,,0,¥650.00,思行致远办公专营店
54,,0,¥11199.00,博润天数码专营店
55,,0,¥24559.00,博润天数码专营店
56,,0,¥960.00,宜柏数码专营店
57,,0,¥7773.00,博润天数码专营店
58,,5,¥5488.00,力持数码专营店
59,,0,¥6430.00,博润天数码专营店
