,产品,月销量,价格,店铺
0,华为 S5720S-28X-LI-24S-AC,0,¥5030.00,铮竹数码专营店
1,华为S1720-52GWR-PWR-4P-E,0,¥5690.00,铮竹数码专营店
2,华为新品 S5720S-52X-PWR-LI-AC,0,¥1699.00,华为亮通专卖店
3,Huawei/华为 麦芒6,0,¥6958.00,华为亮通专卖店
4,华为新品S1720-52GWR-4X,0,¥4152.00,华为亮通专卖店
5,华为S2700-26TP-EI-DC,0,¥3106.00,华为亮通专卖店
6,Huawei/华为 P10 Plus,0,¥3336.00,华为亮通专卖店
7,Huawei/华为 P10,0,¥1280.00,华为亮通专卖店
8,华为AR201-S,0,¥5319.00,华为亮通专卖店
9,华为 S1720-28GWR-PWR-4TP-E,0,¥7321.00,华为亮通专卖店
10,Huawei/华为 AR3260E-S,0,¥3551.00,华为亮通专卖店
11,华为Huawei  S1700-28FR-2T2P-AC,0,¥1499.00,四川电信旗舰店
12,华为Huawei S1700-28GFR-4P-AC,0,¥4554.00,博润天数码专营店
13,华为Huawei S1700-52R-2T2P-AC,0,¥1837.00,博润天数码专营店
14,华为Huawei S2710-52P-SI-AC,0,¥1019.00,博润天数码专营店
15,华为AR121W-S ,0,¥2899.00,四川电信旗舰店
16,华为 huawei AP5030DN-S-FAT-DC,0,¥2299.00,四川电信旗舰店
17,Huawei/华为 荣耀畅玩7A,0,¥1839.00,博润天数码专营店
18,Huawei/华为 畅玩7C,0,¥1260.00,博润天数码专营店
19,华为 Huawei S5700-26X-SI-12S-AC,0,¥10560.00,宜柏数码专营店
20,Huawei/华为 华为E5885,0,¥4070.00,华为亮通专卖店
21,华为 S5720S-28X-SI-AC,0,¥2653.00,华为亮通专卖店
22,华为USG6180-AC,0,¥988.00,华为亮通专卖店
23,华为huawei S1700-24GR-AC,0,¥2040.00,华为亮通专卖店
24,华为L-AC6003-8AP-S,1,¥24559.00,华为亮通专卖店
25,华为USG6160-AC,0,¥1094.00,华为八方资源专卖店
26,华为S1720-28GWR-4P-E,0,¥2399.00,华为八方资源专卖店
27,华为S5730S-68C-PWR-EI,0,¥6768.00,宜柏数码专营店
28,华为S5700S-28P-LI-AC,0,¥1339.00,华为八方资源专卖店
29,华为AP4050DN-S,0,¥2642.00,华为八方资源专卖店
30,华为S1720-28GWR-4P,0,¥1369.00,博润天数码专营店
31,华为 S2751-28TP-PWR-EI,0,¥1008.00,博润天数码专营店
32,Huawei/华为 L-AC6005-8AP-S,0,¥1943.00,博润天数码专营店
33,华为 S6720S-32X-LI-32S-AC,8,¥899.00,四川电信旗舰店
34,,0,¥850.00,华为亮通专卖店
35,,0,¥1199.00,四川电信旗舰店
36,,0,¥9414.00,华曼数码专营店
37,,0,¥1008.00,华为亮通专卖店
38,,0,¥1943.00,华为亮通专卖店
39,,17,¥899.00,华为懿程专卖店
40,,0,¥5184.00,华为八方资源专卖店
41,,0,¥3088.00,电信汇通天华通信专卖店
42,,0,¥699.00,聚豪数码专营店
43,,0,¥10899.00,华为网捷天成专卖店
44,,0,¥2099.00,电信汇通天华通信专卖店
45,USG6180-AC,0,¥36309.00,华为网捷天成专卖店
46,,0,¥899.00,电信汇通天华通信专卖店
47,,0,¥769.00,圣哲数码专营店
48,,0,¥683.00,华为亮通专卖店
49,,0,¥31346.00,华为网捷天成专卖店
50,,0,¥1662.00,华为亮通专卖店
51,,0,¥15635.00,华为网捷天成专卖店
52,,0,¥1780.00,华为网捷天成专卖店
53,,0,¥1523.00,华为网捷天成专卖店
54,,0,¥1286.00,凯雷数码专营店
55,,0,¥3630.00,宜柏数码专营店
56,,0,¥3534.00,宜柏数码专营店
57,,0,¥2070.00,信合嘉业办公专营店
58,,0,¥8625.00,思行致远办公专营店
59,,0,¥1500.00,思行致远办公专营店
