,产品,月销量,价格,店铺
0,Huawei/华为 Mate 20 X,9314,¥5999.00,华为官方旗舰店
1,Huawei/华为 P20,21000.0,¥3388.00,华为官方旗舰店
2,Huawei/华为 Mate 20,32000.0,¥4499.00,华为官方旗舰店
3,Huawei/华为 畅享9 PLUS,57000.0,¥1449.00,华为官方旗舰店
4,Huawei/华为 nova 3,34000.0,¥2399.00,华为官方旗舰店
5,Huawei/华为 Mate 20 Pro,8291,¥7899.00,能良数码官方旗舰店
6,Huawei/华为 nova 3i,23000.0,¥1999.00,华为官方旗舰店
7,Huawei/华为 P20 Pro,9109,¥6288.00,华为官方旗舰店
8,Huawei/华为 畅享8e,18000.0,¥899.00,华为官方旗舰店
9,Huawei/华为 畅享8,22000.0,¥1199.00,华为官方旗舰店
10,Huawei/华为 mate 10 pro,6160,¥3399.00,华为官方旗舰店
11,Huawei/华为 畅享 MAX,6090,¥1499.00,华为官方旗舰店
12,Huawei/华为 麦芒7,3402,¥2199.00,华为官方旗舰店
13,Huawei/华为 nova 2s,9470,¥1599.00,苏宁易购官方旗舰店
14,Huawei/华为 Mate 10 ,2655,¥2788.00,三际数码官方旗舰店
15,Huawei/华为 Mate 10,66,¥8999.00,华为官方旗舰店
16,Huawei/华为 畅享8 Plus,7700,¥1099.00,博海宇通数码专营店
17,Huawei/华为 nova 3e,2032,¥1465.00,同步飞扬数码专营店
18,Huawei/华为 畅享8e,21000.0,¥649.00,博海宇通数码专营店
19,Huawei/华为 Mate 20 RS,25,¥24999.00,三际数码官方旗舰店
20,Huawei/华为 畅享7 Plus,1681,¥758.00,中国移动官方旗舰店
21,Huawei/华为 P10,456,¥2019.00,爱谷歌数码专营店
22,Huawei/华为 Mate RS,456,¥9999.00,同步飞扬数码专营店
23,Huawei/华为 Mate 9,182,¥2549.00,爱谷歌数码专营店
24,Huawei/华为 Mate 10,668,¥2398.00,能良数码官方旗舰店
25,Huawei/华为 P10 Plus,280,¥2588.00,旭翼数码专营店
26,Huawei/华为 麦芒5,328,¥998.00,豪置数码专营店
27,Huawei/华为 畅享7,424,¥628.00,君问数码官方旗舰店
28,Huawei/华为 nova 2 Plus,133,¥1499.00,中国移动官方旗舰店
29,Huawei/华为 畅享7s,499,¥638.00,君问数码官方旗舰店
30,Huawei/华为 畅享9,3403,¥999.00,三际数码官方旗舰店
31,Huawei/华为 畅享7 Plus,76,¥628.00,君问数码官方旗舰店
32,Huawei/华为 nova 2,187,¥1199.00,豪置数码专营店
33,Huawei/华为 麦芒6,236,¥1328.00,同步飞扬数码专营店
34,Huawei/华为 Mate 9,122,¥1689.00,旭翼数码专营店
35,Huawei/华为 畅享6S,121,¥669.00,久汇数码专营店
36,Huawei/华为 mate8,59,¥1629.00,豪置数码专营店
37,Huawei/华为 nova 青春版,129,¥1078.00,豪置数码专营店
38,Huawei/华为 P9,42,¥1818.00,旭翼数码专营店
39,Huawei/华为 P8,8,¥899.00,旭翼数码专营店
40,Huawei/华为 G9 Plus,6,¥878.00,旭翼数码专营店
41,Huawei/华为 Mate 9 Pro,52,¥2219.00,旭翼数码专营店
42,Huawei/华为 Mate 9,45,¥2059.00,广东电泽凯思专卖店
43,Huawei/华为 P9,33,¥1148.00,旭翼数码专营店
44,Huawei/华为 Mate8,24,¥1579.00,广东电泽凯思专卖店
45,Huawei/华为 P9,28,¥1678.00,旭翼数码专营店
46,Huawei/华为 P9 plus,5,¥1838.00,广东电泽凯思专卖店
47,Huawei/华为 nova,12,¥1029.00,旭翼数码专营店
48,Huawei/华为 P9,13,¥1587.00,旭翼数码专营店
49,Huawei/华为 nova,13,¥1059.00,晋商数码专营店
50,Huawei/华为 P10,11,¥2399.00,旭翼数码专营店
51,Huawei/华为 nova,48,¥1069.00,旭翼数码专营店
52,Huawei/华为 畅享8e,548,¥1099.00,京联通达数码旗舰店
53,Huawei/华为 mate8,4,¥1629.00,豪置数码专营店
54,Huawei/华为 G9Plus,11,¥798.00,旭翼数码专营店
55,Huawei/华为 麦芒4,2,¥669.00,莫拉克数码专营店
56,Huawei/华为 nova,2,¥1199.00,创汇通达数码旗舰店
57,Huawei/华为 G9 青春版,2,¥719.00,广东电泽凯思专卖店
58,Huawei/华为 畅享6,663,¥479.00,晋商数码专营店
59,Huawei/华为 畅享5,29,¥559.00,旭翼数码专营店
