,产品,月销量,价格,店铺
0,华为HUAWEI  视频会议终端系统TE20,1,¥1499.00,历朗通信专营店
1,华为HUAWEI  视频会议终端系统TE40,1,¥1199.00,历朗通信专营店
2,Huawei/华为 AR1220-S,0,¥16000.00,庇拉米斯办公专营店
3,华为HUAWEI 视频会议摄像机VPC600-C-8X-00,1,¥24800.00,庇拉米斯办公专营店
4,华为HUAWEI 视频会议终端系统TE30-C,0,¥4449.00,博润天数码专营店
5,Huawei/华为 AR2220E-S,0,¥34500.00,泰勒伟业办公专营店
6,华为HUAWEI  视频会议终端系统TE40,0,¥2999.00,贝丰通信专营店
7,华为HUAWEI  视频会议终端系统TE20-5X,0,¥2580.00,信合嘉业办公专营店
8,华为 VP9650,0,¥27174.00,华为亮通专卖店
9,华为 AP3030DN-DC,0,¥10899.00,华为亮通专卖店
10,华为S5700-52X-LI-AC ,0,¥8800.00,泰勒伟业办公专营店
11,华为路由器 AR2220E-S ,1,¥21700.00,禹夏办公专营店
12,Huawei/华为 AR151-S2,0,¥6659.00,华为亮通专卖店
13,Huawei/华为 AP3030DN-DC,0,¥38500.00,庇拉米斯办公专营店
14,Huawei/华为 CM-H1,0,¥14599.00,泰勒伟业办公专营店
15,Huawei/华为 AR201-S,0,¥188000.00,泰勒伟业办公专营店
16,Huawei/华为 AR2204-S,0,¥1260.00,博润天数码专营店
17,Huawei/华为 AP2050DN-S-DC,0,¥9185.00,博润天数码专营店
18,Huawei/华为mate20 pro X ,0,¥6659.00,博润天数码专营店
19,Huawei/华为 AP5030DN-S-DC,0,¥1649.00,铮竹数码专营店
20,Huawei/华为 AR207-S,0,¥1260.00,铮竹数码专营店
21,Huawei/华为 AP3010DN-AGN-CN,0,¥21052.00,华为亮通专卖店
22,Huawei/华为 AR151-S,0,¥5662.00,宜柏数码专营店
23,华为 S2720-28TP-EI-AC,19,¥699.00,huawei江滨仁合专卖店
24,华为 HUAWEI S1720-28GWR-4X,28000.0,¥149.00,天猫超市量贩店
25,华为S2700-18TP-EI-AC,0,¥1839.00,宜柏数码专营店
26,华为 AP5030DN-S-DC,0,¥5289.00,宜柏数码专营店
27,华为B3智能手环,0,¥1019.00,宜柏数码专营店
28,华为 huawei S1700-16G,0,¥699.00,同步飞扬数码专营店
29,华为 S1700-52FR-2T2P-AC,0,¥1972.00,宜柏数码专营店
30,华为 huawei S2700-9TP-EI-DC,0,¥1943.00,宜柏数码专营店
31,华为 S3700-52P-SI(AC),0,¥2119.00,博润天数码专营店
32,华为S5700S-52X-LI-AC,0,¥1115.00,博润天数码专营店
33,华为Huawei S6720S-26Q-EI-24S-DC,0,¥1649.00,博润天数码专营店
34,华为 AR2240C-S,0,¥1972.00,博润天数码专营店
35,华为 AC6003-8-8AP,0,¥2376.00,华曼数码专营店
36,华为 S2710-52P-SI-AC,0,¥1260.00,博润天数码专营店
37,华为AR161-S,0,¥1943.00,博润天数码专营店
38,华为AR161W-S,0,¥3415.00,博润天数码专营店
39,华为AP3010DN-V2,15,¥1199.00,华为智信华州专卖店
40,,94,¥639.00,博润天数码专营店
41,,0,¥2268.00,博润天数码专营店
42,,0,¥910.00,博润天数码专营店
43,,0,¥3534.00,博润天数码专营店
44,,0,¥4070.00,博润天数码专营店
45,,0,¥2726.00,博润天数码专营店
46,,0,¥6582.00,博润天数码专营店
47,,0,¥23276.00,博润天数码专营店
48,,1,¥11199.00,博润天数码专营店
49,,0,¥4593.00,博润天数码专营店
50,,0,¥3415.00,铮竹数码专营店
51,,5,¥988.00,锐奇网信数码专营店
52,,0,¥1700.00,铮竹数码专营店
53,,0,¥4079.00,华为亮通专卖店
54,,0,¥2070.00,华为亮通专卖店
55,,0,¥2642.00,博润天数码专营店
56,,0,¥1649.00,博润天数码专营店
57,,0,¥1679.00,博润天数码专营店
58,,0,¥1008.00,博润天数码专营店
59,,0,¥2734.00,中企天正数码专营店

