,产品,月销量,价格,店铺
0,华为S1720-10GW-2P,360,¥699.00,绿森数码官方旗舰店
1,Huawei/华为 AP3010DN-v2,0,¥9414.00,宜柏数码专营店
2,华为 Quidway S9303,8,¥699.00,沪浜数码专营店
3,华为 MA5620-8/16/24GPON/EPON ,3,¥1008.00,铮竹数码专营店
4,Huawei/华为 BL-W09,1,¥6800.00,思行致远办公专营店
5,华为HUAWEI TE30视频会议终端系统,1,¥6647.00,华为网捷天成专卖店
6,Huawei/华为 荣耀畅玩7X,1,¥650.00,唯实嘉业办公专营店
7,华为watch2 Pro ,0,¥4888.00,华为智信华州专卖店
8,Huawei/华为 BTV-W09,7,¥3888.00,迪信通官方旗舰店
9,Huawei/华为 AR161-S,3,¥25000.00,禹夏办公专营店
10,Huawei/华为 AR121-S,0,¥5940.00,华为亮通专卖店
11,华为Mate RS保时捷皮套,16,¥1129.00,移宝通信专营店
12,华为空气净化器H125,1,¥1588.00,华为莫问专卖店
13,Huawei/华为 MateBook D MRC-W50 MRC-W50,0,¥2338.00,华为杭州专卖店
14,Huawei/华为 V10 ,1,¥1649.00,圣哲数码专营店
15,华为 S6720S-26Q-LI-24S-AC,0,¥3870.00,华为网捷天成专卖店
16,华为B3手环,2,¥4988.00,广东电信亿品汇专卖店
17,华为S5720S-28P-SI-AC,0,¥1100.00,圣哲数码专营店
18,Huawei/华为 MateBook D MRC-W00,3,¥1999.00,深达通数码专营店
19,华为Mate RS 保时捷手机壳,73,¥1199.00,立众数码专营店
20,华为 S1700-24GR,8,¥3988.00,华为华亲专卖店
21,华为 S5730S-68C-EI-AC,1,¥1999.00,移宝通信专营店
22,华为 S1720-20GFR-4TP,1,¥8395.00,思行致远办公专营店
23,华为 S1724G-AC,159,¥919.00,华为莫问专卖店
24,Huawei/华为 平板C5,4,¥999.00,昌翼通信专营店
25,Huawei/华为 荣耀10,1,¥6768.00,华为网捷天成专卖店
26,Huawei/华为 AR101GW-Lc-S,0,¥5940.00,华为网捷天成专卖店
27,华为 S5700-28TP-LI-AC,0,¥3740.00,博润天数码专营店
28,华为 S1728GWR-4P-AC24,0,¥5030.00,华为网捷天成专卖店
29,华为honor/荣耀 畅玩7C,5,¥1900.00,沪浜数码专营店
30,华为 S2700-26TP-PWR-EI,1,¥1588.00,华为众泰专卖店
31,Huawei/华为 NOVA 3e,15,¥3988.00,华为屹本专卖店
32,Huawei/华为 AR161W-S,6,¥999.00,深达通数码专营店
33,华为 S2700-52P-EI-AC ,122,¥1688.00,绿森数码官方旗舰店
34,,205,¥688.00,绿森数码官方旗舰店
35,,15,¥769.00,沪浜数码专营店
36,,1,¥16332.00,中易远通办公专营店
37,,0,¥13035.00,联尚易通数码专营店
38,,0,¥1418.00,博润天数码专营店
39,,1,¥1688.00,中科智胜数码专营店
40,,2,¥699.00,博润天数码专营店
41,,2,¥1499.00,世纪华电数码专营店
42,,1,¥2599.00,移宝通信专营店
43,,1,¥7899.00,华为网捷天成专卖店
44,,0,¥8625.00,华为网捷天成专卖店
45,,0,¥1369.00,圣哲数码专营店
46,,0,¥9900.00,华为网捷天成专卖店
47,,0,¥2726.00,华为网捷天成专卖店
48,,0,¥1699.00,华为网捷天成专卖店
49,,0,¥1699.00,历朗通信专营店
50,,2,¥899.00,移宝通信专营店
51,,1,¥8800.00,华为网捷天成专卖店
52,,2,¥3031.00,博润天数码专营店
53,,0,¥1699.00,四川电信旗舰店
54,,1,¥1679.00,圣哲数码专营店
55,,0,¥8688.00,贝丰通信专营店
56,,0,¥3230.00,华为网捷天成专卖店
57,,2,¥5184.00,华为网捷天成专卖店
58,,0,¥799.00,昌翼通信专营店
59,,0,¥3218.00,贝丰通信专营店
