,产品,月销量,价格,店铺
0,Huawei/华为 WS5280 PT8020,0,¥799.00,亿诚数码专营店
1,华为Huawei S1700-52GFR-4P-AC ,0,¥1260.00,华为亮通专卖店
2,华为huawei S1720-28GFR-4TP ,0,¥6050.00,信合嘉业办公专营店
3,华为 HUAWEI S5700-28P-PWR-LI-AC,0,¥3420.00,华为八方资源专卖店
4,华为S5710-108C-PWR-HI ,1,¥1710.00,华为八方资源专卖店
5,Huawei/华为 畅享8plus,0,¥1700.00,华为八方资源专卖店
6,Huawei/华为 AR121W-S,0,¥2070.00,博润天数码专营店
7,华为/Huawei S5700-10P-LI-AC,0,¥5690.00,华曼数码专营店
8,华为S5700-28P-LI-AC,0,¥35178.00,博润天数码专营店
9,Huawei/华为 MateBook X Pro MACH-W19B,0,¥1788.00,宜柏数码专营店
10,Huawei/华为 WiFi 2 PRO,0,¥5184.00,信合嘉业办公专营店
11,Huawei/华为 Matebook E,0,¥1299.00,四川电信旗舰店
12,华为 FreeBuds,2,¥1369.00,圣哲数码专营店
13,华为Huawei AR111-S,0,¥1866.00,博润天数码专营店
14,华为/HUAWEI S1720-28GWR-4P,0,¥1800.00,华为网捷天成专卖店
15,Huawei/华为 L-AC6003-8AP-S,1,¥12888.00,华为航智专卖店
16,华为AR101GW-Lc-S,0,¥799.00,誉满天下数码专营店
17,华为WATCH2,0,¥4988.00,力持数码专营店
18,华为Huawei S5720-50X-EI-AC,0,¥699.00,金伟华腾数码专营店
19,华为Huawei S3700-28TP-SI-AC,0,¥899.00,华为八方资源专卖店
20,华为 S1700-24GR,0,¥1286.00,思创远传办公专营店
21,华为 S2700-9TP-PWR-EI,2,¥899.00,乐购风数码专营店
22,华为 S2700-9TP-PWR-EI,0,¥4593.00,凯雷数码专营店
23,华为S5700-10P-LI-AC,0,¥4828.00,宜柏数码专营店
24,华为 HUAWEI S5700-28X-LI-AC,0,¥1369.00,博润天数码专营店
25,华为 HUAWEI S5700-52X-LI-AC,0,¥3206.00,宜柏数码专营店
26,华为 HUAWEI  S1720-52GWR-PWR-4P,0,¥6582.00,宜柏数码专营店
27,华为 AR101W-S,0,¥4114.00,宜柏数码专营店
28,Huawei/华为 畅享7S,0,¥4571.00,宜柏数码专营店
29,华为 AR3260E-S,0,¥2399.00,宜柏数码专营店
30,,0,¥9900.00,宜柏数码专营店
31,,0,¥8800.00,宜柏数码专营店
32,,0,¥7508.00,宜柏数码专营店
33,,3,¥1368.00,友信数码专营店
34,,0,¥1943.00,中企天正数码专营店
35,,0,¥683.00,博润天数码专营店
36,,0,¥3399.00,电信汇通天华通信专卖店
37,,0,¥769.00,博润天数码专营店
38,,0,¥860.00,华为亮通专卖店
39,,0,¥4114.00,众亿数码专营店
40,,1,¥3870.00,信合嘉业办公专营店
41,,0,¥1100.00,信合嘉业办公专营店
42,,0,¥20800.00,华为八方资源专卖店
43,,0,¥2361.00,华为八方资源专卖店
44,,6,¥769.00,凯雷数码专营店
45,,0,¥2079.00,博润天数码专营店
46,,0,¥9782.00,华为网捷天成专卖店
47,,0,¥5940.00,华为网捷天成专卖店
48,,0,¥2079.00,华为网捷天成专卖店
49,,0,¥1866.00,华曼数码专营店
50,,0,¥6430.00,华曼数码专营店
51,,0,¥9185.00,华曼数码专营店
52,,0,¥4738.00,华曼数码专营店
53,,0,¥699.00,信合嘉业办公专营店
54,,0,¥839.00,博润天数码专营店
55,,0,¥683.00,宜柏数码专营店
56,,0,¥799.00,宜柏数码专营店
57,,0,¥1350.00,四川电信旗舰店
58,,0,¥6130.00,唯实嘉业办公专营店
59,,0,¥24559.00,博润天数码专营店
